"","Protein","day1_04","day1_07","day1_09","day1_11","day1_14","day1_21","short.term.prod","long.term.prod","short.term.prod.rank","long.term.prod.rank","method"
"368","P80303",491,300,740,732,801,463,109002000,271471716,390,671,"KNN"
"369","Q07955",492,587,613,931,936,895,177036852,779917320,469,897,"KNN"
"370","Q99961",493,842,530,298,648,688,220006180,132855552,510,527,"KNN"
"371","P26368",494,583,541,827,826,878,155809082,599763556,454,845,"KNN"
"372","P98179",495,597,582,492,505,857,171989730,212930220,465,623,"KNN"
"373","P02751",496,193,1100,896,962,632,105300800,544753664,388,829,"KNN"
"374","P35080",498,943,836,308,124,347,392597304,13252624,622,224,"KNN"
"375","Q9UBS4",499,694,745,586,554,226,257997970,73369544,544,411,"KNN"
"376","P07384",500,140,356,805,763,623,24920000,382655945,223,747,"KNN"
"377","Q13151",503,822,1106,1002,966,816,457293396,789832512,666,899,"KNN"
"378","P13798",504,1020,531,158,154,195,272976480,4744740,558,146,"KNN"
"379","Q16643",505,744,423,328,618,710,158929560,143919840,456,543,"KNN"
"380","P05121",506,499,1083,823,751,136,273451002,84057928,559,434,"KNN"
"381","Q8NC51",509,266,468,583,796,628,63364392,291434704,317,686,"KNN"
"382","P59998",510,660,764,939,897,734,257162400,618235722,542,854,"KNN"
"383","P38646",513,712,183,431,479,492,66841848,101572908,324,472,"KNN"
"384","P12109",514,936,644,436,348,473,309830976,71767344,586,405,"KNN"
"385","P07602",516,169,354,866,849,248,30870216,182338032,245,589,"KNN"
"386","P22061",517,713,345,302,388,722,127174245,84601072,420,436,"KNN"
"387","P07814",518,636,1110,812,48,313,365687280,12199488,610,213,"KNN"
"388","P67936",519,203,71,12,215,232,7480347,598560,133,59,"KNN"
"389","P54687",521,738,461,758,835,506,177253578,320262580,470,703,"KNN"
"390","P40222",522,779,179,120,176,210,72788202,4435200,340,143,"KNN"
"391","P61970",523,803,1089,919,891,592,457346241,484746768,667,802,"KNN"
"392","Q15942",525,698,852,283,67,223,312215400,4228303,587,141,"KNN"
"393","P05387",528,625,101,683,831,851,33330000,483004623,251,797,"KNN"
"394","P62917",529,789,480,119,78,29,200342880,269178,495,43,"KNN"
"395","Q9BQE5",530,608,460,177,592,738,148230400,77330592,445,421,"KNN"
"396","Q15907",531,664,602,789,771,552,212255568,335792088,506,712,"KNN"
"397","P50395",532,465,1066,948,910,789,263707080,680654520,549,872,"KNN"
"398","O95394",533,635,703,612,288,334,237933865,58869504,528,372,"KNN"
"399","P11177",534,283,462,336,842,450,69818364,127310400,330,518,"KNN"
"400","P53621",537,575,942,750,10,33,290866050,247500,574,42,"KNN"
"401","O60869",539,491,413,135,160,305,109300037,6588000,392,171,"KNN"
"402","P13797",541,715,941,843,766,775,363992915,500446950,609,810,"KNN"
"403","O75367",542,622,1034,787,715,167,348586216,93971735,605,457,"KNN"
"404","Q9UPN3",543,781,1107,110,276,61,469459881,1851960,674,98,"KNN"
"405","P14550",544,714,857,402,413,342,332872512,56780892,595,363,"KNN"
"406","P38919",545,286,808,834,869,594,125942960,430499124,419,772,"KNN"
"407","P00558",546,462,406,562,385,773,102414312,167254010,382,570,"KNN"
"408","P38606",548,734,750,445,480,77,301674000,16447200,580,248,"KNN"
"409","Q15056",549,498,368,90,418,382,100611936,14370840,378,232,"KNN"
"410","P30533",550,745,1138,890,762,329,466295500,223121220,673,631,"KNN"
"411","P41250",552,828,319,887,628,742,145800864,413320712,442,761,"KNN"
"412","Q16555",556,15,664,321,212,241,5537760,16400532,117,247,"KNN"
"413","Q15181",557,764,718,278,227,558,305543464,35213148,582,312,"KNN"
"414","P69849",559,618,292,329,252,277,100874904,22965516,379,269,"KNN"
"415","Q13200",562,6,17,634,892,865,57324,489181720,15,805,"KNN"
"416","P28066",563,613,736,721,792,601,254007584,343190232,537,717,"KNN"
"417","P00492",564,470,773,443,359,338,204906840,53754506,498,354,"KNN"
"418","P47813",566,529,87,58,453,804,26049018,21124296,230,264,"KNN"
"419","P25705",568,751,965,871,934,831,411638120,676030134,637,870,"KNN"
"420","P31350",569,506,481,904,959,933,138486634,808851288,432,904,"KNN"
"421","Q8WWI1",570,617,548,695,455,42,192726120,13281450,488,225,"KNN"
"422","P62241",571,420,729,799,541,396,174828780,171174564,468,577,"KNN"
"423","Q10567",573,543,1140,978,899,660,354698460,580286520,607,841,"KNN"
"424","P05388",575,483,1051,858,925,927,291888975,735713550,575,887,"KNN"
"425","Q8WVM8",578,687,174,784,214,645,69092964,108215520,329,488,"KNN"
"426","Q9NYU2",579,179,427,935,881,741,44254707,610387635,281,851,"KNN"
"427","Q12792",580,840,760,685,830,739,370272000,420158450,612,763,"KNN"
"428","P84243",582,421,960,953,860,238,235221120,195060040,526,609,"KNN"
"429","Q53GG5",584,766,902,606,955,836,403504288,483818280,630,798,"KNN"
"430","P52209",585,272,398,655,581,564,63329760,214633020,316,625,"KNN"
"431","P30043",586,791,289,801,753,597,133959014,360082341,427,728,"KNN"
"432","Q9H223",587,913,738,817,754,794,395517078,489118292,625,804,"KNN"
"433","P20908",588,1089,845,912,574,735,541080540,384763680,701,750,"KNN"
"434","P62913",589,755,619,538,412,56,275266205,12412736,562,216,"KNN"
"435","Q13509",590,917,697,603,676,689,377097910,280855692,616,679,"KNN"
"436","P27797",592,265,589,671,584,480,92402320,188094720,368,599,"KNN"
"437","P35606",593,910,938,797,636,869,506172940,440489148,684,775,"KNN"
"438","Q92598",596,699,657,385,251,607,273708828,58657445,560,371,"KNN"
"439","Q13561",597,772,508,785,855,867,234129072,581908725,522,842,"KNN"
"440","P12763",599,418,937,334,151,304,234607934,15331936,524,241,"KNN"
"441","Q15691",601,492,722,356,267,116,213489624,11026032,508,202,"KNN"
"442","Q15008",604,893,478,521,585,796,257819816,242608860,543,653,"KNN"
"443","P30153",605,517,799,552,644,649,249915215,230711712,533,637,"KNN"
"444","P37108",608,770,1151,704,764,843,538852160,453412608,700,786,"KNN"
"445","P40429",609,809,668,604,577,146,329110908,50882168,593,347,"KNN"
"446","P23528",610,408,553,968,790,753,137630640,575834160,431,837,"KNN"
"447","O60784",611,837,635,459,814,664,324743445,248087664,591,660,"KNN"
"448","P49591",612,304,31,327,351,754,5767488,86541858,121,442,"KNN"
"449","Q7Z739",613,645,190,191,295,853,75123150,48062285,344,341,"KNN"
"450","P49588",615,276,607,502,301,196,103032180,29615992,383,293,"KNN"
"451","P41091",616,844,517,569,281,254,268790368,40611806,556,327,"KNN"
"452","Q7L5N1",617,400,110,654,546,829,27148000,296022636,237,688,"KNN"
"453","P52943",618,819,892,195,466,60,451478664,5452200,662,158,"KNN"
"454","O14558",619,56,66,73,292,437,2287824,9315092,82,192,"KNN"
"455","P11047",620,649,288,599,496,793,115885440,235603472,406,643,"KNN"
"456","P30084",622,718,886,869,806,828,395684056,579942792,626,840,"KNN"
"457","P40121",624,68,12,103,131,257,509184,3467701,41,129,"KNN"
"458","P62277",625,953,1007,963,774,812,599794375,605233944,723,848,"KNN"
"459","Q01130",626,680,1053,1005,956,591,448241040,567820980,661,833,"KNN"
"460","P53992",627,610,656,312,772,609,250900320,146686176,534,547,"KNN"
"461","P04181",628,637,947,813,582,211,378834092,99838026,617,468,"KNN"
"462","Q96HE7",630,416,341,362,416,416,89369280,62646272,362,377,"KNN"
"463","Q96HC4",631,768,296,51,39,24,143443968,47736,439,24,"KNN"
"464","Q9Y3F4",632,514,374,340,508,384,121493152,66324480,413,387,"KNN"
"465","Q96CW1",634,1055,485,161,8,30,324401950,38640,590,17,"KNN"
"466","Q13596",635,937,311,744,726,763,185043445,412129872,479,759,"KNN"
"467","Q02543",636,737,1012,838,965,847,474356784,684943490,679,873,"KNN"
"468","P28838",641,719,222,478,681,397,102315138,129230646,381,521,"KNN"
"469","Q9Y281",642,646,781,475,840,917,323905692,365883000,589,732,"KNN"
"470","Q01105",643,200,905,933,791,896,116383000,661250688,408,867,"KNN"
"471","Q92820",644,802,378,592,248,724,195232464,106294784,492,484,"KNN"
"472","Q14061",647,1071,642,82,144,716,444865554,8454528,657,189,"KNN"
"473","P62826",651,668,539,983,911,854,234393852,764768102,523,893,"KNN"
"474","P55735",653,748,224,465,540,856,109411456,214941600,393,626,"KNN"
"475","P61604",654,934,867,589,640,615,529594812,231830400,697,638,"KNN"
"476","P15559",655,457,316,524,747,502,94589860,196496856,370,610,"KNN"
"477","Q8IVL6",656,451,523,18,219,744,154732688,2932848,453,120,"KNN"
"478","O94855",657,958,810,615,785,928,509818860,448015200,685,781,"KNN"
"479","P25786",660,880,533,658,572,510,309566400,191951760,585,603,"KNN"
"480","P63010",661,829,262,886,857,825,143567878,626424150,440,857,"KNN"
"481","P27348",663,611,860,256,706,656,348379980,118562816,603,505,"KNN"
"482","Q9Y2Z0",664,547,658,155,705,647,238990864,70700925,531,402,"KNN"
"483","P62861",668,889,778,209,471,487,462016856,47939793,669,340,"KNN"
"484","O75534",670,38,50,916,875,783,1273000,627574500,61,858,"KNN"
"485","P82979",671,648,351,273,254,111,152617608,7696962,451,181,"KNN"
"486","P51858",672,869,463,200,474,505,270377184,47874000,557,339,"KNN"
"487","P55786",674,186,440,979,794,583,55160160,453181058,301,785,"KNN"
"488","P23246",675,906,768,830,864,48,469670400,34421760,675,309,"KNN"
"489","P18621",676,414,482,392,395,412,134894448,63794080,429,380,"KNN"
"490","P46459",678,599,60,1014,283,429,24367320,123106698,220,512,"KNN"
"491","Q9UHX1",679,783,574,274,516,697,305171118,98544648,581,464,"KNN"
"492","P60174",680,705,674,361,451,511,323115600,83196421,588,431,"KNN"
"493","Q15075",681,826,464,509,266,406,261002784,54969964,546,356,"KNN"
"494","O95816",682,991,1036,822,703,694,700193032,401039004,759,757,"KNN"
"495","P63220",684,434,702,410,147,198,208392912,11933460,502,212,"KNN"
"496","P35268",685,606,544,337,298,264,225819840,26512464,514,283,"KNN"
"497","P27816",686,898,115,115,20,31,70843220,71300,334,28,"KNN"
"498","P05198",688,1069,467,663,698,842,343465424,389655708,600,754,"KNN"
"499","P08195",689,305,527,525,345,371,110746415,67197375,397,390,"KNN"
"500","P29401",691,804,849,551,426,518,471673836,121588068,677,511,"KNN"
"501","P63172",692,954,419,741,315,729,276610392,170159535,564,575,"KNN"
"502","P62937",694,786,847,806,491,747,462024948,295622262,670,687,"KNN"
"503","P11021",695,246,245,311,309,366,41887650,35172234,275,311,"KNN"
"504","Q14157",696,339,590,102,632,197,139206960,12699408,434,220,"KNN"
"505","Q16851",697,884,414,454,509,604,255085272,139575944,539,539,"KNN"
"506","Q16698",699,1064,610,540,858,770,453678960,356756400,664,726,"KNN"
"507","Q92905",703,765,203,881,739,491,109172385,319669969,391,702,"KNN"
"508","Q96JY6",705,701,751,487,296,501,371147955,72220152,613,407,"KNN"
"509","P78371",707,896,631,897,820,889,399720832,653895060,627,865,"KNN"
"510","P16949",708,1025,1039,585,658,390,754002300,150122700,764,551,"KNN"
"511","P08758",709,430,756,765,615,531,230481720,249822225,517,661,"KNN"
"512","Q9UIL1",710,1094,573,996,538,848,445072020,454399104,658,787,"KNN"
"513","Q13418",712,306,792,798,859,765,172554624,524393730,466,818,"KNN"
"514","P02452",713,620,193,293,312,348,85317580,31812768,358,300,"KNN"
"515","P61106",714,918,802,284,450,373,525672504,47669400,694,337,"KNN"
"516","P60981",716,452,459,600,308,281,148547088,51928800,446,349,"KNN"
"517","P40926",717,845,1069,448,208,38,647669685,3540992,736,130,"KNN"
"518","O43242",718,354,331,607,300,187,84130932,34052700,356,307,"KNN"
"519","P06733",719,212,429,277,517,460,65391612,65876140,321,385,"KNN"
"520","Q9Y3B8",725,257,1020,114,749,771,190051500,65832606,486,384,"KNN"
"521","P54819",726,365,535,584,503,782,141769650,229714064,438,635,"KNN"
"522","P46783",727,919,286,461,437,244,191080318,49155508,487,344,"KNN"
"523","P61247",729,928,851,535,549,364,575711712,106912260,712,486,"KNN"
"524","Q96AE4",730,449,214,467,375,361,70142780,63220125,332,378,"KNN"
"525","P30086",731,1009,310,781,525,627,228649490,257085675,515,663,"KNN"
"526","P05455",733,576,904,591,623,476,381676032,175259868,618,585,"KNN"
"527","Q13838",734,479,728,804,775,714,255954608,444893400,540,778,"KNN"
"528","P26641",736,914,282,466,521,523,189702528,126977078,485,516,"KNN"
"529","P12270",737,315,19,955,888,590,4410945,500343600,107,809,"KNN"
"530","P07910",740,299,1076,760,390,544,238075760,161241600,529,563,"KNN"
"531","P13010",741,685,805,777,194,27,408605925,4069926,632,138,"KNN"
"532","P31943",742,528,609,759,810,630,238591584,387317700,530,753,"KNN"
"533","Q99613",744,10,67,17,138,90,498480,211140,40,39,"KNN"
"534","P28331",745,531,1070,620,851,315,423286650,166200300,645,568,"KNN"
"535","Q9Y266",746,807,1109,516,543,316,667642398,88539408,745,446,"KNN"
"536","P80723",749,762,99,35,72,209,56503062,526680,307,56,"KNN"
"537","O43776",750,1007,112,388,323,762,84588000,95496888,357,460,"KNN"
"538","O14818",751,1015,373,766,795,769,284324845,468297930,571,792,"KNN"
"539","Q9BWF3",754,1060,55,749,808,639,43958200,386717688,279,752,"KNN"
"540","Q9Y6H1",755,962,283,632,553,311,205545730,108693256,500,489,"KNN"
"541","P46782",756,567,595,498,591,553,255047940,162757854,538,565,"KNN"
"542","Q13501",758,373,360,726,524,585,101784240,222548040,380,630,"KNN"
"543","O15371",760,689,767,457,556,292,401631880,74194864,629,413,"KNN"
"544","Q9Y696",761,226,704,674,734,494,121078144,244389704,412,655,"KNN"
"545","P67809",763,1014,69,41,122,317,53384058,1585634,296,94,"KNN"
"546","P30085",766,1086,962,807,699,44,800264712,24820092,776,275,"KNN"
"547","Q8N6T3",768,890,547,453,923,906,373885440,378815814,615,743,"KNN"
"548","P25789",769,978,912,554,552,555,685898784,169723440,753,573,"KNN"
"549","Q14204",770,696,35,595,270,352,18757200,56548800,197,359,"KNN"
"550","Q3SX28",771,942,171,39,113,174,124194222,766818,416,68,"KNN"
"551","P17096",772,888,28,5,3,499,19195008,7485,198,6,"KNN"
"552","Q03252",773,1004,169,173,364,414,131159548,26070408,425,281,"KNN"
"553","P11586",774,972,1015,934,564,668,763612920,351886368,769,723,"KNN"
"554","P06744",776,920,925,705,714,678,660376000,341284860,742,715,"KNN"
"555","Q13813",777,525,100,678,671,720,40792500,327555360,272,708,"KNN"
"556","Q8IWE2",778,519,225,382,545,618,90850950,128661420,365,519,"KNN"
"557","P02786",779,904,818,232,690,374,576048688,59869920,713,374,"KNN"
"558","P58546",782,330,717,1003,834,918,185029020,767908836,478,894,"KNN"
"559","P55769",783,1199,68,79,423,242,63839556,8086914,319,185,"KNN"
"560","Q96TA1",784,959,780,738,737,556,586447680,302411736,720,691,"KNN"
"561","P50552",785,544,426,556,579,349,181919040,112351476,475,494,"KNN"
"562","O60443",788,117,156,868,605,748,14382576,392804720,181,755,"KNN"
"563","Q9NVD7",789,805,992,942,557,653,630063840,342625182,731,716,"KNN"
"564","Q05682",792,831,94,78,90,45,61866288,315900,313,45,"KNN"
"565","P07195",793,1058,685,772,914,811,574710890,572248088,711,835,"KNN"
"566","P08865",799,967,969,831,862,908,748681377,650420376,763,863,"KNN"
"567","P53999",800,1099,304,686,627,821,267276800,353130162,553,724,"KNN"
"568","P61088",802,875,712,529,85,162,499646000,7284330,682,175,"KNN"
"569","P46781",803,120,1035,914,882,403,99732600,324877644,376,706,"KNN"
"570","Q99832",804,1021,424,482,599,795,348054816,229530810,602,634,"KNN"
"571","P30050",805,40,155,747,789,740,4991000,436143420,114,774,"KNN"
"572","Q9BS26",806,760,542,876,800,274,332007520,192019200,594,604,"KNN"
"573","P81644",807,490,90,157,6,11,35588700,10362,255,9,"KNN"
"574","O75340",808,1001,248,740,255,559,200584384,105483300,496,483,"KNN"
"575","Q14914",809,1006,953,832,693,925,775602862,533332800,772,823,"KNN"
"576","P45974",811,356,765,917,829,822,220867740,624878646,512,856,"KNN"
"577","O95373",812,85,196,809,818,934,13527920,618085708,175,853,"KNN"
"578","P27824",813,771,493,211,178,142,309023739,5333236,584,155,"KNN"
"579","Q15436",815,527,935,629,539,899,401587175,304788869,628,694,"KNN"
"580","O60925",818,1128,793,814,602,750,731704272,367521000,761,733,"KNN"
"581","Q12931",819,209,170,598,514,520,29099070,159833440,240,562,"KNN"
"582","O75489",822,966,663,909,318,192,526456476,55499904,696,357,"KNN"
"583","P18124",824,591,1077,937,889,861,524481768,717206973,692,881,"KNN"
"584","Q9UKK9",826,747,943,1006,205,516,581851746,106414680,715,485,"KNN"
"585","P05161",827,903,1022,780,211,532,763210182,87556560,768,445,"KNN"
"586","Q9Y5S9",829,1114,182,14,25,123,168078092,43050,463,22,"KNN"
"587","P78527",831,742,128,409,880,258,78925056,92859360,351,455,"KNN"
"588","P62258",832,503,161,227,294,296,67377856,19754448,325,259,"KNN"
"589","P07900",833,1018,177,446,531,718,150094938,170041068,448,574,"KNN"
"590","Q9NTK5",835,929,979,567,398,614,759424985,138558924,767,538,"KNN"
"591","O00571",836,792,884,688,701,650,585307008,313487200,718,698,"KNN"
"592","Q04917",838,1029,1074,438,329,278,926112348,40060356,808,324,"KNN"
"593","P04083",839,482,393,572,626,681,158928414,243847032,455,654,"KNN"
"594","Q16531",840,901,769,619,220,328,582009960,44667040,716,333,"KNN"
"595","P21589",841,566,564,377,408,365,268467384,56142840,555,358,"KNN"
"596","P62191",842,181,133,263,306,245,20269466,19717110,204,258,"KNN"
"597","Q6P587",843,1077,472,608,507,617,428533992,190193952,648,602,"KNN"
"598","O15145",844,752,671,661,542,745,425875648,266905190,646,669,"KNN"
"599","Q8WX93",845,877,737,99,5,82,546164905,40590,705,19,"KNN"
"600","Q14444",846,907,93,131,191,46,71360946,1150966,336,81,"KNN"
"601","P28161",847,988,499,800,765,515,417581164,315180000,641,699,"KNN"
"602","Q13310",850,1130,532,260,231,408,510986000,24504480,687,272,"KNN"
"603","P31942",851,157,176,690,845,892,23514832,520080600,217,814,"KNN"
"604","P63167",854,993,491,95,128,237,416378802,2881920,640,119,"KNN"
"605","P11216",856,985,410,432,424,798,345695600,146168064,601,546,"KNN"
"606","P31689",857,753,694,802,565,629,447852774,285018770,659,683,"KNN"
"607","P35579",859,994,294,189,361,354,251030724,24153066,535,271,"KNN"
"608","P17980",860,709,772,962,66,524,470719280,33269808,676,303,"KNN"
"609","P00338",861,703,1090,959,919,809,659758470,712988689,741,879,"KNN"
"610","P49327",863,710,956,846,127,554,585769880,59522868,719,373,"KNN"
"611","Q86UP2",865,450,45,7,394,488,17516250,1345904,196,87,"KNN"
"612","Q9Y371",866,827,862,971,752,732,617348884,534500544,728,824,"KNN"
"613","P50502",868,956,835,861,821,802,692889680,566918562,756,832,"KNN"
"614","Q16401",869,582,1025,857,746,780,518401950,498671160,690,808,"KNN"
"615","P22234",870,900,824,769,675,612,645192000,317673900,734,700,"KNN"
"616","O75368",874,945,673,645,319,943,555850890,194026965,706,608,"KNN"
"617","P47897",876,1206,618,338,352,691,652889808,82212416,739,429,"KNN"
"618","Q9P289",878,733,890,723,446,611,572780860,197021838,709,611,"KNN"
"619","Q9Y230",879,561,39,988,490,358,19231641,173314960,199,581,"KNN"
"620","P19623",880,824,301,640,832,814,218261120,433438720,509,773,"KNN"
"621","Q16270",881,1084,162,411,79,207,154710648,6721083,452,172,"KNN"
"622","P13489",883,605,348,210,142,119,185906820,3548580,483,131,"KNN"
"623","P08107",885,352,56,127,210,153,17445120,4080510,193,139,"KNN"
"624","P24844",886,1093,976,125,382,389,945156448,18574750,814,256,"KNN"
"625","O60716",887,700,661,4,838,705,410414900,2363160,634,111,"KNN"
"626","Q9NR45",889,475,457,387,619,781,192979675,187090893,489,597,"KNN"
"627","Q96FW1",890,1215,1071,921,243,866,1158125850,193813398,847,607,"KNN"
"628","P08621",891,559,1091,464,652,676,543393279,204508928,703,614,"KNN"
"629","P55145",894,1044,916,560,485,679,854935776,184416400,796,591,"KNN"
"630","Q12841",895,1103,180,504,770,677,177693300,262730160,471,667,"KNN"
"631","P35221",896,870,450,314,107,175,350784000,5879650,606,164,"KNN"
"632","O75390",897,1083,946,944,873,633,918992646,521662896,804,816,"KNN"
"633","Q9UJZ1",898,358,877,559,34,57,281941468,1083342,567,78,"KNN"
"634","P09486",900,932,811,826,578,631,680266800,301257068,751,690,"KNN"
"635","P00505",904,116,61,384,568,357,6396704,77865984,125,423,"KNN"
"636","P04899",908,902,706,756,486,419,578225296,153947304,714,557,"KNN"
"637","P68036",910,878,448,237,381,824,357943040,74404728,608,416,"KNN"
"638","Q13148",912,508,578,542,519,489,267785088,137554722,554,535,"KNN"
"639","P02545",913,1109,369,176,342,423,373618773,25461216,614,277,"KNN"
"640","P09104",914,1054,399,291,280,337,384379044,27458760,621,289,"KNN"
"641","P46776",917,523,963,755,656,625,461846133,309550000,668,696,"KNN"
"642","P22307",918,1016,1003,664,182,916,935486064,110696768,809,493,"KNN"
"643","P0CW22",919,981,1097,998,941,680,988988283,638600240,821,861,"KNN"
"644","O14974",920,584,1120,622,695,298,601753600,128822420,725,520,"KNN"
"645","Q07960",922,965,1040,793,742,626,925319200,368342156,807,735,"KNN"
"646","P10412",923,1059,1018,790,449,94,995051226,33342740,822,304,"KNN"
"647","P06753",926,1032,105,50,64,40,100341360,128000,377,33,"KNN"
"648","P28300",928,1152,407,116,192,91,435105792,2026752,655,102,"KNN"
"649","Q07812",929,798,1062,305,651,573,787305204,113772015,774,496,"KNN"
"650","P13804",930,652,453,250,522,665,274681080,86782500,561,443,"KNN"
"651","P09493",931,1035,438,140,249,368,422050230,12828480,644,223,"KNN"
"652","Q13557",932,642,1128,891,893,767,674932032,610273521,748,850,"KNN"
"653","P61978",933,963,739,701,904,764,663975981,484149856,744,799,"KNN"
"654","P26599",935,1140,820,417,23,290,874038000,2781390,798,118,"KNN"
"655","Q92499",936,1088,980,570,750,404,998000640,172710000,823,578,"KNN"
"656","Q9Y2B0",938,1141,593,716,704,756,634662994,381072384,733,745,"KNN"
"657","P29692",939,905,1006,773,861,850,854893770,565720050,795,831,"KNN"
"658","P61289",941,1036,1108,958,779,874,1080162608,652250468,836,864,"KNN"
"659","P11413",942,1040,865,883,609,388,847423200,208645836,792,619,"KNN"
"660","P10619",943,863,660,956,738,657,537113940,463531896,699,791,"KNN"
"661","Q04637",944,665,543,468,431,448,340873680,90365184,598,449,"KNN"
"662","P32119",948,1041,581,991,924,929,573370308,850670436,710,909,"KNN"
"663","Q9BT78",949,427,10,130,70,235,4052230,2138500,103,106,"KNN"
"664","P24752",952,971,749,224,467,401,692369608,41947808,755,329,"KNN"
"665","P30837",954,389,240,332,544,498,89065440,89942784,361,448,"KNN"
"666","Q02218",955,443,21,547,732,14,8884365,5605656,143,160,"KNN"
"667","O95777",960,1042,279,185,7,220,279089280,284900,565,44,"KNN"
"668","Q15393",961,560,1114,171,593,727,599510240,73719981,722,412,"KNN"
"669","P63208",962,1097,25,27,55,41,26382850,60885,232,27,"KNN"
"670","P40261",964,976,957,544,377,539,900406848,110542432,802,492,"KNN"
"671","P20700",965,1067,42,776,727,912,43245510,514506624,278,811,"KNN"
"672","Q9UHD8",966,1167,599,508,260,9,675265878,1188720,749,83,"KNN"
"673","P62979",967,568,380,137,145,164,208717280,3257860,503,124,"KNN"
"674","P55884",969,215,730,577,234,263,152084550,35509734,449,314,"KNN"
"675","Q14696",970,1107,314,875,478,636,337170060,266007000,596,668,"KNN"
"676","Q99622",971,1144,268,354,660,581,297700832,135744840,578,532,"KNN"
"677","P40763",973,946,653,228,360,204,601059074,16744320,724,250,"KNN"
"678","P12268",975,323,126,373,823,803,39680550,246504137,271,658,"KNN"
"679","Q9NZZ3",976,1072,782,397,404,443,818184704,71051884,780,403,"KNN"
"680","P49720",977,923,1043,945,886,641,940547153,536690070,812,825,"KNN"
"681","P61513",980,960,1001,697,555,540,941740800,208890900,813,620,"KNN"
"682","P62841",982,1095,172,911,782,758,184949880,540000716,477,827,"KNN"
"683","O14907",983,670,1145,419,562,561,754108450,132103158,765,524,"KNN"
"684","P62158",984,1138,159,112,225,155,178046928,3906000,472,137,"KNN"
"685","Q9UNH7",985,1196,1087,961,843,84,1280551220,68050332,869,395,"KNN"
"686","O43681",986,431,611,878,487,644,259654226,275365384,545,673,"KNN"
"687","P68032",988,1081,742,234,38,75,792476776,666900,775,64,"KNN"
"688","P31946",990,1066,363,154,646,654,383088420,65062536,619,383,"KNN"
"689","P09622",991,485,1033,565,678,177,496495955,67803390,681,394,"KNN"
"690","P78559",992,1031,175,393,944,940,178981600,348732480,473,720,"KNN"
"691","P21399",993,1134,679,235,246,462,764596098,26708220,770,286,"KNN"
"692","P63241",996,1188,715,951,697,818,846022320,542208846,790,828,"KNN"
"693","P61019",997,922,1102,901,711,667,1012995868,427287537,828,771,"KNN"
"694","P35613",999,1108,752,69,420,325,832382784,9418500,785,194,"KNN"
"695","O60493",1001,1254,1082,865,745,715,1358184828,460763875,881,789,"KNN"
"696","Q14247",1004,973,142,59,161,151,138718664,1434349,433,91,"KNN"
"697","P48147",1008,439,917,242,501,442,405783504,53588964,631,353,"KNN"
"698","Q05519",1009,1173,223,863,939,881,263933211,713924517,550,880,"KNN"
"699","P50990",1011,825,537,646,769,849,447898275,421761126,660,766,"KNN"
"700","Q9Y617",1012,438,276,370,150,138,122338656,7659000,415,180,"KNN"
"701","Q13011",1013,590,878,1001,784,74,524754260,58074016,693,368,"KNN"
"702","P54136",1014,555,605,639,607,134,340475850,51974982,597,350,"KNN"
"703","Q9UNZ2",1017,1039,570,518,731,637,602297910,241205146,726,649,"KNN"
"704","P26885",1019,1002,719,819,696,112,734126322,63842688,762,381,"KNN"
"705","O60664",1022,1127,113,545,523,574,130152722,163610090,423,566,"KNN"
"706","P38117",1024,1050,489,513,868,736,525772800,327729024,695,709,"KNN"
"707","Q00839",1025,1129,1117,920,551,413,1292620325,209357960,871,621,"KNN"
"708","Q5SW79",1027,998,936,588,761,587,959349456,262663716,818,666,"KNN"
"709","P30101",1029,974,617,582,684,200,618385782,79617600,729,426,"KNN"
"710","P49411",1030,1038,326,510,51,188,348539640,4889880,604,149,"KNN"
"711","P62736",1031,1104,381,107,414,410,433663344,18162180,653,253,"KNN"
"712","P07996",1033,1062,650,681,664,322,713079900,145603248,760,545,"KNN"
"713","P20340",1035,1000,970,679,865,673,1003950000,395276455,824,756,"KNN"
"714","Q96G03",1038,1231,788,837,755,708,1006889064,447409980,825,780,"KNN"
"715","Q02818",1040,950,1095,742,456,1,1081860000,338352,837,48,"KNN"
"716","Q12765",1042,995,1086,829,677,926,1125953940,519701758,842,813,"KNN"
"717","Q8N1G4",1044,456,1038,182,532,886,494154432,85786064,680,440,"KNN"
"718","Q9NP97",1047,1247,1049,820,816,569,1369583841,380729280,883,744,"KNN"
"719","O00231",1048,1156,783,536,520,420,948595104,117062400,815,502,"KNN"
"720","P63244",1050,1070,596,455,589,699,669606000,187328505,747,598,"KNN"
"721","O15067",1051,1179,687,847,898,503,851281623,382584818,794,746,"KNN"
"722","P60953",1053,708,1131,967,900,915,843187644,796324500,788,901,"KNN"
"723","P08670",1054,1181,334,386,575,568,415754516,126067600,639,515,"KNN"
"724","Q13442",1055,1169,748,184,262,218,922504660,10509344,805,199,"KNN"
"725","P16152",1056,969,320,447,484,392,327444480,84808416,592,437,"KNN"
"726","P48643",1057,724,1002,850,720,799,766798536,488988000,771,803,"KNN"
"727","Q99623",1058,1111,1055,757,534,179,1240087090,72358602,861,408,"KNN"
"728","P63162",1059,1177,817,290,106,256,1018343931,7869440,829,183,"KNN"
"729","Q9Y262",1060,1074,1046,1004,906,862,1190808240,784095888,855,898,"KNN"
"730","P40123",1061,997,212,764,902,837,224257204,576800136,513,838,"KNN"
"731","O43175",1062,1125,797,825,143,170,952215750,20055750,816,260,"KNN"
