"","Protein","KNN_long.term.prod.rank","KNN_short.term.prod.rank","MinProb_long.term.prod.rank","MinProb_short.term.prod.rank","short.term.prod","long.term.prod","short.term.prod.rank","long.term.prod.rank"
"543","P63162",183,829,617,845,700505,112911,854,331
"544","P63167",119,640,339,462,295680,40341,574,192
"545","P63172",575,564,798,695,391980,458850,658,711
"546","P63173",196,342,253,361,123462,49588,351,215
"547","P63208",27,232,7,169,39208,189,201,11
"548","P63220",212,502,256,549,275598,54272,548,228
"549","P63241",828,790,841,791,624890,696348,819,853
"550","P63244",598,747,634,741,553527,379132,778,642
"551","P63261",74,254,78,280,71120,5772,268,74
"552","P63313",239,90,124,248,22320,29636,148,166
"553","P67809",94,296,87,319,94424,8178,314,88
"554","P67936",59,133,54,136,18088,3186,126,51
"555","P68032",64,775,51,779,603725,3264,810,52
"556","P68036",416,608,366,684,415872,152256,679,387
"557","P68104",55,28,56,38,1064,3080,31,49
"558","P68363",467,179,467,177,31683,218089,176,479
"559","P68371",188,44,171,55,2420,32148,43,172
"560","P68400",770,569,909,617,351073,699930,619,858
"561","P68402",874,649,753,724,469876,658122,712,836
"562","P69849",269,379,274,457,173203,73706,426,269
"563","P78371",865,627,875,592,371184,756875,635,881
"564","P78417",531,216,567,237,51192,301077,223,577
"565","P78527",455,351,396,687,241137,180180,506,424
"566","P78559",720,473,408,841,397793,293760,665,569
"567","P80303",671,390,767,471,183690,514657,436,751
"568","P80723",56,307,72,354,108678,4032,331,60
"569","P81644",9,255,26,677,172635,234,423,13
"570","P82979",181,451,133,153,69003,24073,262,149
"571","P83731",228,789,262,802,632778,59736,824,240
"572","P84077",588,366,630,373,136518,370440,371,637
"573","P84098",536,305,603,316,96380,323208,315,603
"574","P84243",609,526,218,282,148332,132762,387,357
"575","P98179",623,465,760,510,237150,473480,498,728
"576","P99999",675,857,628,839,719023,423900,863,682
"577","Q00341",729,830,113,809,671470,82377,841,283
"578","Q00610",847,339,850,306,103734,719950,325,866
"579","Q00688",109,295,57,213,62835,6213,250,76
"580","Q00839",621,871,660,848,738608,409860,878,667
"581","Q01082",782,242,793,240,58080,620126,240,818
"582","Q01105",867,408,761,326,133008,659787,366,837
"583","Q01130",833,661,553,15,9915,460649,92,713
"584","Q01469",725,311,587,440,136840,425575,372,683
"585","Q01518",166,30,153,27,810,25398,25,153
"586","Q01813",528,310,536,291,90210,283008,302,557
