"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","mg_1","mg_2","mg_3","mg_4","mg_7"
"Q99627",7.12282596555279,7.13515066859826,6.93267818867342,7.21238004414588,7.11465720878398,7.15700048652792,7.09083547807832,7.1199321816757,7.12114051659881,7.06022390142491
"Q99714",7.92508573367302,7.87192544519686,7.82972559946371,7.69058213751521,7.6978092700586,7.91256354169325,7.76107494385984,7.7595973257574,7.71312172190099,7.71021691274206
"Q99729",8.09196917949771,8.10747255508226,8.10323901740327,7.81130490492533,7.89445734554624,7.99712129198657,7.95180095472691,7.95198910439033,7.97286329247357,7.29897310061998
"Q99733",7.68756540733429,7.57556285263912,7.50759723230193,7.53222062094877,6.95568446373792,7.22409486232057,7.4032917325617,7.69243490759493,7.71561933413528,6.96118941803936
"Q99757",7.24323135878202,6.82076929872581,7.2716013961036,7.22626271994022,6.94354976197735,6.93481398173568,7.00110663684039,7.33951946775498,7.28604513484823,6.69837635291117
"Q99798",7.77012540150436,7.89607003682268,7.58396327437605,7.31079649745928,7.36318512753763,8.23118457583382,7.71279894010285,7.15509636954894,7.18694461665247,7.20516656867744
"Q99816",7.27142533058889,7.36142543709201,7.05109570161344,6.98308667642456,7.05738302021253,6.94800082762164,7.19635057905843,6.884893686576,7.12399257829744,7.07375016597667
"Q99829",7.72208065064163,7.45864193045602,7.46909696790723,7.49082666993062,7.54726615733126,7.51573005481676,7.53655448105949,7.54319481828807,7.5563292579525,7.74893760626904
"Q99832",8.32851599926688,8.30743215715038,8.22561125290721,8.13710265905967,8.13182443105647,8.36958332596041,8.25576278563823,8.01885930340107,8.07927357279634,8.10048200362316
"Q99873",8.08487337540637,8.08977543746254,8.06249893952758,8.04639674167599,7.5257964725453,8.08222838779762,8.06788898401207,8.05302280775753,7.99864197395483,7.89590068071241
"Q99879",9.61515757362683,9.17601544275314,9.37180168994042,9.02578106053668,8.68557703255242,9.28216994549688,9.15892707196045,9.29716736210489,9.4502077653315,9.10295395238564
"Q99961",7.73190686172567,7.58232096032214,7.53202161113666,7.33387968922526,7.13418381447597,7.50802706181116,7.63036406734927,7.39769182515575,7.63274312608736,7.26682252041215
"Q9BPX5",7.48706358801803,7.07342213050316,7.27173875431507,7.27935227529876,6.90162757051432,7.32475934003235,7.22394621068298,7.23801880509624,7.15439510142458,7.26527840173328
"Q9BQ61",6.63261443934477,6.68200030839707,6.80087342931231,6.4432597319058,5.83099671527852,6.95881796218101,6.52843995884907,6.42675512142964,7.22905424302826,7.04446502359452
"Q9BQ67",7.0815351506881,7.16399922723004,7.07501097049999,6.99372627348942,7.29514239199982,7.07194980517956,7.21146684092637,7.08275028431322,7.20451953911581,6.93230406349295
"Q9BQA1",7.20884327741648,7.07585741780023,6.99107130945434,7.11353800008217,6.77575978648024,7.18965015311408,6.94022424580069,6.95854528925663,7.15992822011218,6.9382930615224
"Q9BQE5",6.95089169099742,6.81066982211885,6.80002039827666,6.59970166140549,7.12351634085807,7.10947452552075,6.7336940732825,6.64929926635056,6.63207995533805,6.87380323444355
"Q9BQG0",7.3267390453761,7.44343963677628,7.24349050100137,7.00392129446735,6.98950406755093,7.42742881838853,7.39861099016441,6.97464735763341,6.91602487375054,7.15535138636984
"Q9BR76",7.58198942398,7.59677852746616,7.66714146047341,7.0773959241869,7.43141398980796,7.53175419913346,7.31383308579606,7.46957749067446,7.72333996706256,7.38750128015256
"Q9BRA2",7.5986292323503,7.58618799846324,7.62745484246511,7.48041757105614,7.24640392897975,7.61913289119157,7.55073166022732,7.61942138263659,7.52899676797937,7.14198434381345
"Q9BRF8",7.17465767078858,7.29631401799339,7.32420204988662,7.06578584190116,7.15239325457177,7.4896013041158,7.15952148255094,7.09844891666769,7.31497178799812,7.13729410091767
"Q9BRP8",6.97886751341592,7.03542385289918,7.09147633041063,6.93271143106736,6.82939382952072,7.19992139465334,7.00015904153774,7.18271053381305,6.28260237012478,6.58884808110826
"Q9BS26",7.57162725343501,7.61175636239464,7.50838245336417,7.0008242077974,7.33161050250156,7.42898363608023,7.52149073904312,6.95618737137404,7.12041270859935,7.45478927368171
"Q9BSJ8",7.16468457745599,8.00985599811718,7.31074041805271,7.18710176859184,7.09999940377684,7.00966219764867,7.44090557355071,7.41462173779708,7.30422840912553,6.84734510779349
"Q9BT73",6.66082584483881,7.40199151496072,6.57019423747871,6.66277544842773,6.96842029320162,6.97929600296417,6.92612274542327,6.631052017962,6.67899084605087,6.98488961707764
"Q9BT78",7.5435466797939,7.63423272672499,7.31969495418202,7.60502320202548,7.30411250555748,7.8762351060911,7.6698422983016,7.64310223160099,7.54879010201243,6.88832267778101
"Q9BTT0",7.35565808227581,7.46760406886359,7.53792835749598,7.39291401969587,7.32904094968009,7.50395684911776,7.30165228867991,7.52323777688837,7.40217949093262,7.26630355234427
"Q9BU89",7.00944202540348,7.09215857945149,7.12470115506451,7.14467179783713,6.87524615009941,6.94458646081051,7.00128171976797,7.08060111497904,7.08379354791703,6.43052846026625
"Q9BUF5",8.90094051530395,8.89331340635474,8.8524718969471,8.44933167726249,8.62580571603876,8.73673551805552,8.56933259637108,8.69904677060253,8.73902615358759,8.50739509923158
"Q9BUJ2",7.29275293919966,7.59513964948789,7.29026668823441,7.05574995397511,7.21391826283464,6.97757426128689,7.11027377676535,7.02551386386967,7.36740192233053,6.77824639421194
"Q9BVP2",7.44354971746606,7.45593027796642,7.37577981634667,7.16868247586193,6.89272138188663,7.30236260889021,7.26565198633747,7.15802466484053,7.13713322768791,6.80499228442171
"Q9BWD1",7.15109067624822,7.38597784612717,7.33574614075477,7.01057697352002,7.26564656665342,7.02094118650339,7.10754853340028,7.13613411134405,7.49155548035884,7.41494565393408
"Q9BWF3",7.57755562000833,7.56637269173903,7.59466575102623,7.62052443657506,7.09042348303819,7.47026568131321,7.57083261721514,7.70734946626491,7.5088227959419,7.03166917684332
"Q9BWU0",6.85298642007006,6.79271568625339,6.95818655123327,6.67527597827546,7.10702198900848,6.85989041268152,6.88863922021997,6.73881073095851,6.15367400857547,7.05659303408208
"Q9BX68",7.04584178510814,6.93003191830061,7.24346120470844,7.02570466253016,7.15177058628359,7.02759015018779,6.98007866373787,7.15578074283968,7.16148367794188,7.05047449645154
"Q9BXJ9",7.54963193245785,7.58556434404309,7.38736772755787,7.05784550061962,6.8312696573184,7.44646000706735,7.10238971427052,7.01880909792477,6.7851299546452,7.04217174581185
"Q9BXP5",7.08380159944339,7.07659156821346,7.03072052948125,6.86335335646705,7.31532309035326,7.32881785481007,7.02146692589944,6.9227455126431,6.72194880461335,7.01248455974745
"Q9BXS5",7.37481257549132,6.98117160140452,7.0207560271514,7.09498583045208,6.90176458725198,7.10003685734401,7.43543493970294,6.74885514846939,7.02557910767226,7.13412048246999
"Q9BY32",7.19442256907336,7.17455326537866,6.85400462898564,7.08733754075937,6.94098792123083,7.13123367446442,7.19496591398006,7.15700371180273,7.17067239631673,6.71309861859731
"Q9BY42",6.70128493984282,6.50642550697131,6.844990301425,7.0895259342099,7.08773674816291,7.01872734743126,6.75408674467136,6.70124812149872,5.77637406937954,6.93297896060584
"Q9BY43",7.31466601247172,7.04783108068166,7.29313517207433,6.81195140586043,6.98502251149655,7.14316294207957,6.91651033654807,6.77598574102519,6.7086498511933,6.9607059497152
"Q9BY44",7.86043683649433,7.63669621748421,7.78495802002443,7.24324404090794,7.20370968026894,7.82585744214761,7.58369207574273,7.5771394920354,7.15836716424882,7.0089053426994
"Q9BY77",7.12461258575848,7.10402421041663,7.01796703987167,7.06308011410467,6.87800498209783,6.47059747434353,7.22647898988803,7.28294570709934,7.17775894521117,7.01804584403946
"Q9BYT8",7.01540147804803,7.04445899489435,7.12886818911017,7.1321224623784,6.91117164292388,6.95761760833211,7.02232699306003,7.08861566400483,7.18098884376367,7.05532321749
"Q9BZZ5",7.53245018037916,7.53845427646234,7.510203870603,7.29883524312502,7.04595561654438,7.45485782880613,7.6568666232196,7.38923404533058,7.29401146472914,6.92667059419474
"Q9C0C2",7.4367473464758,7.44514227058978,7.3563103618426,7.08498803573473,6.93010292894853,7.61596809326367,7.08279669637284,7.22260873851555,7.56940423484046,6.68636053712507
"Q9C0C9",6.66925971670339,6.40650425563905,6.68083829263116,6.28993419067106,7.49448870317518,7.05899818810794,7.05470747926694,6.16780249899721,7.1714182673222,7.2640585828323
"Q9GZL7",7.0767061794762,7.28758256154364,7.15833248508372,6.93416600217741,6.78290835548739,6.82678349438463,7.04022182271744,7.01488010034441,7.14854909450592,7.14855355664287
"Q9GZN8",7.00169477960745,7.12686307001214,7.1208817870338,7.31698050321733,7.18956699187275,7.02442658885925,7.16323594378901,7.17776584177238,7.37615140473285,6.68915323969054
"Q9GZQ8",7.94663985521316,7.72087181748046,7.73496032752608,7.38186320473135,7.17203006629649,7.58655450173402,7.48643130036235,7.6320997273033,7.6546198862333,7.25513627005658
"Q9GZS3",6.93438311344375,7.36522099231756,7.31379554281717,7.30153968090968,7.24746890759978,6.97367246191211,7.29950321110978,7.35775732410618,7.22777732053262,7.43097327215312
"Q9GZZ9",7.08626838541187,6.98155581588971,7.13872527341188,7.08659403536388,7.02014546055451,7.26353750934898,7.10113688276726,7.06321162402445,7.17742060631038,6.93478298644224
"Q9H0E2",7.03778192130978,7.07566261779785,7.0422057007369,7.23801102051126,7.06288778683671,6.78293031659224,7.11628436335498,7.13736345516251,6.9849189151471,6.97477533268213
"Q9H0U4",7.6202253143826,7.71847021010432,7.57481302215539,7.16215263487502,7.29389479841261,7.09285158878638,7.05130647990186,7.3664897844661,7.43399949077118,7.29948478388712
"Q9H223",7.70884264288441,7.49812179654107,7.52119402131489,7.21883735877536,6.70666415124701,7.58657966743417,7.63229417256024,7.52771478074954,7.49418912746133,7.29585877466115
"Q9H299",7.16735464416332,7.37778792128015,8.31838248260696,7.56270071648441,7.74716211237181,8.06078861671161,7.93014148304039,7.75651820908405,6.93363163794594,7.78941240141758
"Q9H2G2",6.84397442063808,6.92590585073308,6.85006438683497,6.91131460346211,6.82599157743966,6.80363135334801,6.99636269283626,6.9318927040316,6.96517167008016,7.16347398428209
