"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11"
"P09972",8.04152632814544,7.93964779881137,8.23577817614003,7.70975069673271,7.76726528466767,7.7453680208105,7.56833813837575,7.54274749112742,8.004220059848,8.04835241015569,7.81892021856561,7.66807096390141,8.01531566314618,7.581530606472,7.44342244479996,7.77503443711014,8.18728337273212,8.43315260275681
"P0CW22",8.12104648979069,8.18823237301548,8.08768027586621,7.94243907374802,8.01936756449519,8.0981026780324,7.66956223131053,7.10409389589037,7.72562600335941,8.14254675111015,8.0614556968536,8.03799545205586,7.98268996438134,8.0696154872786,7.64747487701206,7.86665461511581,7.93180978685723,7.46528568070732
"P10412",7.6804397583992,8.10523349830747,7.70883731466827,7.88452787605436,7.22861137538131,7.36247132143238,7.11888139366213,7.56992721857386,7.30692292849584,7.34808746488835,7.89082272487916,7.68008307330807,7.56543010554945,7.3511301035794,7.43389600542502,7.16386781808206,7.68038787567897,7.15190155013312
"P10599",8.66491737921182,8.68759212255724,9.02600595456999,8.85628971289106,8.25265508243673,7.98847280425345,8.02884280042773,7.94521064587706,8.33001219412038,8.61291894308688,8.83272444795458,8.93742350110722,8.92828688153924,8.22752480616966,8.13148381432759,8.56616077160684,8.30818876129015,8.27842447344945
"P10619",7.23249855065375,7.12240751450691,7.48943706858321,6.99173793656455,7.06204592778746,6.88213731495061,7.03636949126832,7.31953871302619,7.1361786485484,7.27743010494066,7.21294999567708,7.51694564567323,7.12843733167384,6.78525788168064,7.05723394126692,7.29963600010695,7.21381145406488,7.62664900773041
"P10809",9.33254188679679,9.31219267207884,9.32949803422352,9.14968134471181,8.9893250627736,8.82707953700107,8.78645055247642,9.22556917056965,9.12935781308332,9.2418184261889,9.17868722237644,9.19806948198669,9.25211299063384,9.19574412810519,8.77947307318756,9.04438824833373,9.1176711423815,9.11706909433557
"P11021",9.91735441353982,9.81801433779991,9.87968273443106,9.84646997982948,9.64402079843365,9.3633863557321,9.30919049925144,9.73069291901178,9.75982735520763,9.79034774998187,9.7236130060221,9.80668541832229,9.8508384792059,9.75360346129766,9.32739470926305,9.76821322702916,9.82572419794886,9.79260015435182
"P11047",8.21470755217779,8.25531377698765,8.18556573986439,8.10860862181857,7.99879686581372,7.03947373109633,6.87954645222811,8.02150177186627,8.0376914073441,8.18703880362413,7.98933319467241,8.11217919483882,8.15139022907053,7.83468793720957,7.31855222253922,8.06136070714183,8.12388774325562,8.12870980385384
"P11142",9.82181673629403,9.87103644096321,9.90352900201187,9.68742600352686,9.22628615598587,9.11411702709627,8.89290076283759,9.26350058135022,9.32167420778814,9.73295675783735,9.73794937020807,9.75282222361915,9.73485948538242,9.26975452190837,8.94777294322892,9.16221914318653,9.44991007624661,9.41150676955759
"P11177",7.96775942926,8.08482541618713,7.9667730805878,7.78927502264052,7.14313445533607,7.73949412827848,6.88741886064326,7.86879411672748,7.58682169148403,7.80377307903435,7.92295234680463,7.90802244600667,7.87668350885982,6.98020549110662,7.07891618200299,7.17332752569059,7.87516350931733,7.72687147179659
"P11216",8.18594089693933,8.22084967682317,8.17624617116744,7.88900037279433,7.71383207089146,7.29353001728567,6.96760216839557,7.85705039929013,7.64629347616416,8.10844958021345,8.2874447856782,8.18646536191567,8.04219420782101,7.65807139215351,7.04546224458928,7.10203011355121,7.85797056255095,7.8813470699142
"P11413",8.47224713872481,8.46643166371658,8.47949835027651,8.36521354651784,8.43585413265625,8.34702438486599,8.16503164386278,8.42015306650069,8.19625090468117,8.34501608963954,8.50861775753802,8.45298391740681,8.28933923311798,8.42225974398444,8.14770060148786,8.40695040426857,8.41927233986289,8.28581925582262
"P11586",8.05712303223348,8.14684637002789,8.0766421604492,7.84294055869755,6.76256819533261,7.02806653666221,7.40112763017683,6.87979884980913,7.27544263754474,8.1599501727274,8.16441944670347,7.8713093371885,7.86881791543347,7.41436183648871,7.13442046916085,7.18458187003512,7.17672653924702,6.76298410147424
