,Regulator,Target,Weight,Sign
277,P12956,Q96KR1,0.0075167281162116925,
278,P12956,Q9UHD8,0.010643893767818238,
279,P12956,Q9UJZ1,0.0036432808873976953,
280,P12956,Q9UMS6,0.01898160848301359,
281,P12956,Q9UNH7,0.031441554160352395,
282,P13010,O94925,0.017978908184259505,
283,P13010,P00568,0.009550780132685633,
284,P13010,P04179,0.06709900712157313,
285,P13010,P06753,0.0008688193116674035,
286,P13010,P07339,0.0014159863220441083,
287,P13010,P12956,0.0006835527994686323,
288,P13010,P15374,0.0004904733489214392,
289,P13010,P18859,0.02572053053516135,
290,P13010,P21281,0.004579599800919778,
291,P13010,P23246,0.055859866173832415,
292,P13010,P26022,0.017526145353597068,
293,P13010,P27816,0.02153103549682561,
294,P13010,P30048,0.003776198019835681,
295,P13010,P30085,0.009180897925975057,
296,P13010,P35222,0.006780823634377066,
297,P13010,P38606,0.02806656040730503,
298,P13010,P42765,0.04174606918164768,
299,P13010,P46379,0.06144539930305719,
300,P13010,P49756,0.0026115061141573142,
301,P13010,P53621,0.01139955247994723,
302,P13010,P61981,0.010634027401342717,
303,P13010,P62328,0.013613093689838682,
304,P13010,P62854,0.0023629383382591253,
305,P13010,P62906,0.007639636987332607,
306,P13010,P62913,0.06234015708144185,
307,P13010,P81644,0.033672360308786314,
308,P13010,Q01995,0.03947180367389413,
309,P13010,Q02218,0.019672194645076878,
310,P13010,Q02818,0.018620631900628067,
311,P13010,Q07065,0.02087468083501295,
312,P13010,Q07866,0.009940551330156429,
313,P13010,Q07954,0.017924793189753388,
314,P13010,Q13162,0.0020239895893136976,
315,P13010,Q13263,0.029213141589125417,
316,P13010,Q14011,0.007891902673779183,
317,P13010,Q14444,0.06565893473090494,
318,P13010,Q15233,0.02387107748412087,
319,P13010,Q15459,0.01032446735333643,
320,P13010,Q15843,0.10153772359725899,
321,P13010,Q16629,0.004456079992412972,
322,P13010,Q7Z417,0.0030177773151166386,
323,P13010,Q96HC4,0.014305129961508732,
324,P13010,Q96KR1,0.0001300711663058358,
325,P13010,Q9UHD8,0.01002777146969633,
326,P13010,Q9UJZ1,0.016186825230242716,
327,P13010,Q9UMS6,0.01050298478255956,
328,P13010,Q9UNH7,0.03872622133622195,
329,P15374,O94925,0.0007745000519430331,
330,P15374,P00568,0.00014939024566424655,
331,P15374,P04179,0.00031796102826105074,
332,P15374,P06753,0.01237690065119327,
333,P15374,P07339,0.010664985450310829,
334,P15374,P12956,0.009333836425431122,
335,P15374,P13010,0.030397748685755878,
336,P15374,P18859,0.00017574813875362882,
337,P15374,P21281,0.0006383944813725668,
338,P15374,P23246,0.010274285138910988,
339,P15374,P26022,0.011426739604770668,
340,P15374,P27816,0.002437246826318951,
341,P15374,P30048,0.0007531452984384584,
342,P15374,P30085,0.0010296104596286338,
343,P15374,P35222,0.001457517106744741,
344,P15374,P38606,0.05789074106068272,
345,P15374,P42765,0.01988515006425084,
346,P15374,P46379,0.02876484613702758,
347,P15374,P49756,0.019924226306502223,
348,P15374,P53621,0.019397654923627033,
349,P15374,P61981,0.0005804083948102274,
350,P15374,P62328,0.021165236925078643,
351,P15374,P62854,0.02106801447895985,
352,P15374,P62906,0.002988913576889753,
353,P15374,P62913,0.03833831451984975,
354,P15374,P81644,0.009118531828321015,
355,P15374,Q01995,0.020465005526892177,
356,P15374,Q02218,0.0014030248066944212,
357,P15374,Q02818,0.0008878426307380361,
358,P15374,Q07065,0.26442774541321645,
359,P15374,Q07866,0.0025161210077753134,
360,P15374,Q07954,0.01004668965894299,
361,P15374,Q13162,0.008742478098261086,
362,P15374,Q13263,0.00014844093152678692,
363,P15374,Q14011,0.011435840140923099,
364,P15374,Q14444,0.0014728566997722417,
365,P15374,Q15233,0.0007600547509591974,
366,P15374,Q15459,0.027090996284244964,
367,P15374,Q15843,0.0008476465069975815,
368,P15374,Q16629,0.029106255686057285,
369,P15374,Q7Z417,0.0019948386910325056,
370,P15374,Q96HC4,0.004952119086512772,
371,P15374,Q96KR1,0.028249688873332124,
372,P15374,Q9UHD8,0.07465672961122001,
373,P15374,Q9UJZ1,0.07050191336931692,
374,P15374,Q9UMS6,0.08978027134148976,
375,P15374,Q9UNH7,0.010657468270693592,
376,P18859,O94925,0.11285765301908857,
377,P18859,P00568,0.013300451478698523,
378,P18859,P04179,0.09229959897720026,
379,P18859,P06753,0.029691070115296946,
380,P18859,P07339,0.004337687835223584,
381,P18859,P12956,0.015426094812610048,
382,P18859,P13010,0.012441822831026945,
383,P18859,P15374,0.029687597099531195,
384,P18859,P21281,0.002035722001077229,
385,P18859,P23246,0.032847029287489976,
386,P18859,P26022,8.280228630963375e-05,
387,P18859,P27816,0.002433649286002433,
388,P18859,P30048,0.0004202490030095839,
389,P18859,P30085,0.010665788877933636,
390,P18859,P35222,0.02083863261085214,
391,P18859,P38606,0.0006793622022034944,
392,P18859,P42765,0.0323818293941311,
393,P18859,P46379,0.0077089254283717965,
394,P18859,P49756,0.008061327957420523,
395,P18859,P53621,0.03215168600469187,
396,P18859,P61981,0.0056135891480293115,
397,P18859,P62328,0.026223846056882206,
398,P18859,P62854,0.004204293735334519,
399,P18859,P62906,0.010970141037410433,
400,P18859,P62913,0.052520445748804705,
401,P18859,P81644,0.035828062882235216,
402,P18859,Q01995,0.011684117833456109,
403,P18859,Q02218,0.01399610152410536,
404,P18859,Q02818,0.02207390612349979,
405,P18859,Q07065,0.01267560067115363,
406,P18859,Q07866,0.009261177707488376,
407,P18859,Q07954,0.017363186356797334,
408,P18859,Q13162,0.016879452026250765,
409,P18859,Q13263,0.08197901252621656,
410,P18859,Q14011,0.005125901574595165,
411,P18859,Q14444,0.025394097241287005,
412,P18859,Q15233,0.0016986963212957844,
413,P18859,Q15459,0.014184675710615291,
414,P18859,Q15843,0.07067392068220094,
415,P18859,Q16629,0.009257411523000272,
416,P18859,Q7Z417,0.001901849821076215,
417,P18859,Q96HC4,0.004080442991308282,
418,P18859,Q96KR1,0.0258774826959087,
419,P18859,Q9UHD8,0.0037099118208700887,
420,P18859,Q9UJZ1,0.008759722119008308,
421,P18859,Q9UMS6,0.012659752105131018,
422,P18859,Q9UNH7,0.02308130308337518,
423,P21281,O94925,0.009413651805286093,
424,P21281,P00568,0.009149743761216383,
425,P21281,P04179,0.004623636925968617,
426,P21281,P06753,0.00012488205863587102,
427,P21281,P07339,0.015305290543340186,
428,P21281,P12956,0.005768047027991583,
429,P21281,P13010,0.01580148536553886,
430,P21281,P15374,0.0017403886908947989,
431,P21281,P18859,0.011591535536430768,
432,P21281,P23246,0.01391295292826835,
433,P21281,P26022,0.01393190563681678,
434,P21281,P27816,0.02756316204602779,
435,P21281,P30048,0.0007940050658349543,
436,P21281,P30085,0.004659492045589406,
437,P21281,P35222,0.0006443885331118489,
438,P21281,P38606,0.0070371788839284155,
439,P21281,P42765,0.003331238873094,
440,P21281,P46379,0.010309825501280494,
441,P21281,P49756,0.034949200858396395,
442,P21281,P53621,0.0070765460875013815,
443,P21281,P61981,0.16232829014887756,
444,P21281,P62328,0.0023036746445813804,
445,P21281,P62854,0.0016025083255564853,
446,P21281,P62906,0.013927360653533515,
447,P21281,P62913,0.008353971454434157,
448,P21281,P81644,0.22876275061591705,
449,P21281,Q01995,0.014042977631071662,
450,P21281,Q02218,0.010428884951979554,
451,P21281,Q02818,0.008889575807199249,
452,P21281,Q07065,0.018243946892996202,
453,P21281,Q07866,0.019099409551079364,
454,P21281,Q07954,0.030095913875977057,
455,P21281,Q13162,0.010121600283294212,
456,P21281,Q13263,0.017628920631830178,
457,P21281,Q14011,0.036452667035359376,
458,P21281,Q14444,0.03244157948773712,
459,P21281,Q15233,0.013021959511487415,
460,P21281,Q15459,0.0012940227034096109,
461,P21281,Q15843,0.045446670757820676,
462,P21281,Q16629,0.002424134191980074,
463,P21281,Q7Z417,0.0006613117649238372,
464,P21281,Q96HC4,0.004600453878361271,
465,P21281,Q96KR1,0.03508999678206084,
466,P21281,Q9UHD8,0.020252139437131243,
467,P21281,Q9UJZ1,0.022870241169822943,
468,P21281,Q9UMS6,0.0009228502266413502,
469,P21281,Q9UNH7,0.030804120783492806,
470,P23246,O94925,0.01780511501991384,
471,P23246,P00568,0.004912002397239508,
472,P23246,P04179,0.04630625186006382,
473,P23246,P06753,0.0013868765010734178,
