	level_0	Symbols	ID	ctr_1	ctr_2	ctr_3	ctr_4	ctr_7	ctr_8	ctr_9	ctr_10	ctr_11	ctr_14	ctr_21	Mg_1	Mg_2	Mg_3	Mg_4	Mg_7	Mg_8	Mg_9	Mg_10	Mg_11	Mg_14	Mg_21	Sites	Effect
20	20	HADHA	HADHA	8.070259577400575	8.144418518602068	7.926723059315801	7.12856080655932	7.807690588571108	7.9627906384393485	7.590540910873103	8.151676230847048	7.966648505102925	7.8045278737252906	7.7507320413412115	8.028855809390445	7.7886632131208575	7.81969525422399	8.095936102180785	8.13277182930962	7.542850314182012	7.873593766767822	8.000737673774033	8.09300119668475	8.086680093734625	7.882996711615978		
21	21	TAGLN	TAGLN	9.323458366849467	9.264321877763006	9.354511799744273	9.253943462669259	9.438336623263844	9.487760371456293	9.615297594292704	9.563469219262853	9.660381605523158	9.028286509426277	9.582097468468987	9.097430853944243	9.039176084376042	9.17906322239498	9.282032685605381	9.533505148292178	9.682947914079005	9.588887687772225	9.676291129348288	9.592021227689484	9.74828883366775	9.475918041439469		
22	22	PDLIM5	PDLIM5	8.344254692556934	8.321681263668323	8.463654135971828	8.415457483406035	8.385731360988784	8.009068276192219	8.293185706706598	8.13953277159794	8.535408059915369	7.5979583149744	8.317352849677771	8.476672251730177	8.237518604633108	8.307731306161607	8.273302278567657	8.174815456482182	8.339689889966477	8.409425868671443	8.497302925540968	8.78160460163878	8.445464085678609	8.032256025890453		
23	23	CALU	CALU	8.960332808852733	8.995011819985269	9.095169351431755	9.131811071270343	9.057209512507791	8.584726885405287	8.970997365572485	9.281442457270872	9.208199417133796	9.283662990058831	9.252464661195994	8.859894500306364	8.974994996574598	9.104760166638526	9.213464629039557	9.1827569310404	9.252998580156891	9.152288344383056	9.286119502590363	9.182386117037067	9.210024073804233	9.524357170179343		
24	24	PLIN3	PLIN3	8.702904210509727	8.721876537265178	8.797800557707184	8.852699525239561	8.748420622467568	8.85842289450755	8.19044375970669	8.57645653240562	8.86795630956465	8.774458569267267	8.699716349172174	8.709617596682408	8.715878048308094	8.770903535049685	8.836659519795331	8.73652398286225	8.544638456623337	8.866110039844376	8.76948071721623	8.914470094322771	8.8047117510853	8.67182056018325		
25	25	P4HA1	P4HA1	8.151645602511628	8.201806642957022	7.8874485002499535	8.133666623260684	8.527848925934716	7.540316958919408	8.60224452727166	8.842927356099024	8.793252420205043	9.103803720955957	8.912859475162355	8.006337660374552	7.8980172312944745	7.927242006460018	8.219112780306169	8.52637805195189	8.045674966769106	8.618487401396354	8.635202168388586	8.703274177996601	8.965639068876676	9.063858548853071		
26	26	CTNNA1	CTNNA1	8.089622551584341	8.190919698912573	7.939494292448383	8.067219688974141	8.060282229438346	7.680951611168186	7.9093366872381266	7.952220754238025	8.095796793604801	7.234846169921364	7.812157695355176	8.139816140610575	7.746237081614781	8.161008437306002	8.099369826389838	8.015275906681875	7.90759407001401	8.223314189764135	8.112605001534574	8.297716751264153	7.9392446118149085	7.803047210491129		
27	27	PLOD1	PLOD1	8.024731889655248	7.899316997918055	7.792713788511254	7.714874382231573	8.273417994771455	8.323664535608101	7.249271753073101	8.721324130802648	8.218902950862828	8.570274341433395	8.447064958266482	7.960037694221933	8.196480167700148	8.043598030030124	8.107616929991783	8.299354734958506	7.522418148970326	8.215558257141161	8.288115025288104	8.279210512601395	8.476875084758506	8.490070903572992		
28	28	CKAP4	CKAP4	8.038580425961579	8.70744242363874	8.026288062023943	7.816035707382992	7.35928515389347	7.592742859342505	7.88031615461507	7.917951653120944	8.083108279194734	8.269442891071236	8.365263291698733	7.790228849914659	7.76234840445925	8.05766610390983	7.897236600496572	7.966981339135796	8.300943128080553	8.053692938784954	8.186758627181614	8.412225275871112	8.228477354445056	8.3714927085759		
29	29	UCHL1	UCHL1	8.764639332067448	8.712203394714425	8.87928516080771	8.30935332291878	8.752724344857523	8.978381405875247	8.855058571484854	8.688446519613361	8.984999604844209	8.269559640038821	8.734631837910278	8.455925441183638	8.474624134418614	8.724062767202916	9.043794392325779	8.939728861432513	8.999356768057648	9.061377074193887	8.626586705715114	9.007662446537276	8.847066509942337	8.752962194624331		
30	30	ZYX	ZYX	8.250810204025981	8.338556091009446	8.44105067674622	8.420384876960407	8.359740647863717	8.781489691818352	8.46259263800925	8.160408500089583	8.51160264922777	7.8542635213787415	8.382179196960255	8.212613696645057	8.252974325347921	8.451033825139367	8.513696924457404	8.269326110710237	8.376704671946978	8.398807730203265	8.450187501895837	8.602775986689238	8.457821363667911	8.154849841520745		
