Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
O00629,7.589495864,7.394330501,7.336884857,7.322333341,7.198293659,7.120136483,6.717424445,6.995550003,7.24661423,7.264611427,7.326710121,7.765543515,7.368256558,7.133218574,6.868122843,6.937684914,6.951635087,7.258444748,7.229172786,7.372028508,7.125808383,7.409345888
O00764,7.788941094,7.821014947,7.828326582,7.90665344,7.69934843,7.688527208,7.738751487,8.065471342,7.660283094,7.620217612,7.46641242,7.543286408,7.727370693,7.915903895,7.947907062,8.018557496,7.679831293,7.696720061,7.830760955,7.623093312,7.702745398,7.426600771
O14558,8.193248833,8.230351722,8.011921312,7.984347031,8.441078635,8.108136856,7.661658499,8.05968056,7.943971134,7.771279459,7.953623278,8.164144979,8.117284461,8.047540738,8.172284017,7.882649468,7.56131433,7.757213261,8.010658157,8.364050524,8.081163449,7.917124369
O14579,8.373515559,8.350839638,8.348871276,7.930002618,7.951783368,7.732441658,7.536509829,7.912261543,7.916627889,7.692435551,7.874216506,8.192282175,8.11130579,8.321233119,8.253437647,8.078074718,7.467251163,7.362722431,8.016399233,8.077965871,7.818354562,7.918543127
O14737,8.030120441,7.967536696,8.010143311,7.959467137,7.471321973,7.43364307,7.176749012,7.181769813,7.628708293,7.374174855,7.608364816,7.955667072,7.910885549,7.796070178,7.857110379,7.480088914,7.21942586,7.453399677,7.587794867,7.777051285,7.583144083,7.407321568
O14818,8.03976712,8.27091224,8.142004431,8.15864835,8.215159007,7.9254372,7.160497027,8.175169989,7.805309477,8.056237136,8.090867953,8.138882202,8.171694067,7.922844103,8.234987537,8.084169859,7.150574558,8.037379947,8.123551881,8.04547632,8.038315874,8.312517808
O14907,7.408439325,7.350522267,7.500821984,7.5390798,7.170947951,7.321684989,6.985499533,7.08616023,7.377579146,7.144166294,7.318225251,7.345948288,7.49154231,7.49149491,7.430397079,7.170843886,6.899694487,7.317651826,7.486846086,7.498256187,7.284421696,7.313073618
O14974,7.533335419,7.506757429,7.546894951,7.465960279,7.240861304,7.446066484,7.071756687,7.318150444,7.201840361,7.295801532,7.445786331,7.527814733,7.436592607,7.34264901,7.352597709,6.872909883,7.083632753,7.502018146,7.395318485,7.427420577,7.297468851,7.466687688
O14979,7.757038931,7.814487629,7.801345268,7.582804572,7.465650743,7.469065718,7.297100933,7.390881554,7.287920003,7.062658486,7.154225918,7.544968724,7.539337405,7.801939137,7.7681164,7.463858908,7.269827726,7.417076377,7.300648652,7.300751206,7.309084933,7.362171576
O14980,8.377360068,8.289613148,8.148689721,7.688961472,7.597559054,7.40463932,6.951890952,6.861567841,7.460861421,7.347917337,7.356130766,8.190296431,7.958991008,7.637879888,8.217643507,7.255230154,7.178370607,7.138111037,7.414500515,7.350680406,7.29006679,6.747612702
O15067,7.420679758,7.454401285,7.000149238,7.430303557,7.467902383,7.484348619,7.197334836,7.479149778,7.331175688,7.366626033,7.287813739,7.38346809,7.417410507,7.303169839,7.307466875,7.305384474,7.353643715,7.291685422,7.35163026,7.367990425,7.449930517,7.555449224
O15143,7.78482481,7.897571291,7.833710084,7.863669554,7.701688456,7.702415393,7.233092467,7.394670515,7.431275983,7.467987185,7.567794021,8.127174681,7.846986383,7.752721466,7.533854012,7.391794145,7.255878626,7.632190295,7.543382228,7.825101517,7.785357623,7.712987771
O15144,8.295884136,8.106413664,8.055610491,7.594300205,8.014387663,7.811690091,7.830263887,8.059854029,8.081779458,8.088266859,8.306964977,8.452836454,8.004613527,7.946175578,8.048007267,8.063540984,7.387668463,8.174285154,8.090708176,8.033496603,8.101874267,8.483716843
O15145,8.200993045,8.072111608,8.141425333,7.872761935,7.659391617,8.323835003,7.732198474,8.012503219,7.689270707,7.779677891,7.603094713,8.056051737,7.960534269,7.920010932,7.934166974,7.783096765,7.719757891,7.578936897,7.500209491,7.634013502,7.688421618,7.568778241
O15212,7.799981509,7.830268398,7.851072507,7.894175919,7.871134888,7.820183955,7.220682027,7.573350867,7.475714333,7.399284796,7.498584179,7.666216443,7.764489796,7.659533744,7.815323353,7.770678048,7.069069162,7.594629542,7.420006595,7.606895551,7.38944225,7.272397935
O15371,7.846980092,8.105743034,7.515336293,7.568959591,7.582123984,7.567614188,7.341962761,7.527059136,7.410376588,7.371472453,7.170826346,7.706579918,7.465710912,7.651582032,7.630742691,7.720509655,7.350492533,7.443270034,7.42555981,7.438365218,7.246701513,7.334820092
O15372,7.875738898,7.950290272,7.734006383,7.413833505,7.869200837,7.536707279,7.304467891,7.508963587,7.459636278,7.27497554,7.249883547,7.514782253,7.499287974,7.586259881,7.561351717,7.718006341,7.179971079,7.559247862,7.453124194,7.545385735,7.39236384,7.37770295
