category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
TISSUES,786,8,"Q9UQ35,P02461,P27816,Q9UPN3,P62328,P27635,P09104,Q6P2Q9",0.0067,Eye,0.5017599870368267
TISSUES,1249,10,"Q9UQ35,P46778,Q9UPN3,P62328,Q00341,P27635,Q01995,P62861,P04179,O43617",0.0067,Intestine,0.47686944449328106
TISSUES,138,4,"P02461,P06753,P13010,Q01995",0.0076,Bone,0.6489061869881443
TISSUES,56,3,"Q9UPN3,P53621,Q6P2Q9",0.0088,Gut,0.781950333685525
TISSUES,14895,39,"Q02218,Q9Y3D6,O60869,Q7Z417,P63208,Q07954,Q13263,Q14767,P13861,P49023,P62979,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P02652,P53621,P06753,P60903,Q07065,P62328,Q00341,P13010,Q02818,P43487,P27635,Q01995,P62861,P09104,P04179,Q99471,Q6P2Q9,Q14011,O43617,Q96HC4",0.0092,Animal,0.38728091153370214
TISSUES,1098,9,"Q9Y3D6,Q13263,P49023,P37837,P06753,P62328,P13010,P43487,P09104",0.0109,Blood cancer cell,0.4791899352450599
TISSUES,871,8,"P02461,P61981,Q05682,P06753,P13010,Q01995,P09104,Q99471",0.0115,Connective tissue,0.4907911632122201
TISSUES,165,4,"Q02218,P06753,Q00341,P04179",0.0128,Breast cancer cell,0.6179904064602586
TISSUES,68,3,"P63208,P62328,Q00341",0.0134,Pharynx,0.7343072109058295
TISSUES,708,7,"Q13263,P49023,Q9UQ35,P27816,Q9UPN3,P53621,Q6P2Q9",0.0175,Embryo,0.4985919277412621
TISSUES,76,3,"P61981,Q05682,Q01995",0.0177,Smooth muscle,0.709486811146559
TISSUES,524,6,"Q02218,P61981,P27816,P06753,Q00341,P04179",0.0208,Adenocarcinoma cell,0.5149044093832975
TISSUES,204,4,"Q05682,P13010,P43487,Q01995",0.0256,Artery,0.5848658237142967
TISSUES,22,2,"P61981,Q01995",0.0319,Vascular smooth muscle,0.9426866853977145
Uniprot Keywords,3341,25,"Q02218,Q9Y3D6,O60869,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P61981,P37837,P27816,Q9UPN3,P06753,P60903,Q07065,P62328,Q00341,P13010,P43487,Q01995,P09104,P04179,Q99471,Q6P2Q9",1.27e-07,Acetylation,0.4703300657237919
Uniprot Keywords,8057,31,"Q02218,Q9Y3D6,O60869,Q7Z417,P63208,Q07954,Q13263,Q14767,P13861,P49023,P62979,Q9UQ35,P61981,P37837,P27816,Q9UPN3,Q05682,P02652,P53621,P06753,Q07065,P62328,Q00341,P13010,Q02818,P43487,Q01995,P09104,Q99471,Q6P2Q9,Q14011",0.0011,Phosphoprotein,0.41408457857383796
Uniprot Keywords,1706,14,"Q02218,Q7Z417,P63208,Q13263,P62979,Q9UQ35,P27816,Q05682,P60903,P62328,P13010,P43487,P27635,P09104",0.0011,Isopeptide bond,0.47933916720134134
Uniprot Keywords,2383,16,"Q02218,Q9Y3D6,Q7Z417,P63208,Q13263,P62979,Q9UQ35,P27816,Q05682,P60903,P62328,P13010,P43487,P27635,P09104,P04179",0.0014,Ubl conjugation,0.4601326638531446
Uniprot Keywords,265,6,"Q9UPN3,Q05682,P06753,P62328,O15143,Q01995",0.0023,Actin-binding,0.6072270759338283
Uniprot Keywords,5028,23,"O60869,Q7Z417,Q07954,P13861,P49023,P62979,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P53621,P06753,Q07065,P62328,Q00341,Q02818,O15143,Q01995,P09104,Q99471,Q14011",0.0023,Cytoplasm,0.42737712936146943
Uniprot Keywords,62,3,"Q05682,P06753,Q01995",0.0304,Muscle protein,0.7562470002384883
WikiPathways,86,4,"P62979,P46778,P27635,P62861",0.0227,Cytoplasmic ribosomal proteins,0.7476304257615219
