"","ctr_1","ctr_2","ctr_3","ctr_4","mg_1","mg_2","mg_3","mg_4"
"Q96IZ0",7.32611439320027,7.27360751014282,7.30376550683037,7.53847824776226,7.32885443149138,7.18025251774185,7.31257828564052,7.36485894963923
"Q96JY6",7.45334347689703,7.6775949907508,7.526784428093,7.62833012470723,7.37538584855796,7.46395660519564,7.59285055102577,7.74031355589471
"Q96K17",7.28256577848132,7.36375445398597,7.3476175383834,7.36416493425843,7.28743282033843,7.31522274250515,7.3662883528434,7.41241570402766
"Q96KB5",6.78621643464198,6.69481100212102,6.69961117049086,6.76416873861432,6.60032751446149,6.68264402569384,6.75135489747237,6.77205915570575
"Q96KP4",7.59321823209377,7.37904119702624,7.50355896290049,7.62703446956503,7.61001848078509,7.38737271171041,7.5385817782002,7.62674472126852
"Q96KR1",6.84818534080587,6.74113341599784,6.98507291912252,6.37490515560027,7.25523235890357,6.94154868267003,6.38044552358218,6.21843757044033
"Q96L92",7.31769639831133,7.4131050489932,7.3597967004204,7.23978041041226,7.35494653603856,7.32360543674347,7.26201449278578,6.99175750660034
"Q96M27",7.56014209996904,7.2590289143276,6.96510030345284,7.54255997134529,7.55991318828066,7.32193153441149,7.34491252401946,7.55092500003644
"Q96P70",7.17684865916961,7.103443311706,7.11479005030228,7.09927114125235,7.08008332841924,7.13002577561579,7.05924135682413,7.29623741883541
"Q96PK6",7.79406854933047,7.82292179328631,7.45268399842342,7.39579214574829,7.59985439825324,7.77659685331094,7.24897432541526,7.48265514083982
"Q96QK1",7.89230054634846,7.82187206949299,7.72534412146931,7.68388046555474,7.93033513933394,7.81392076594238,7.76127644674725,7.69716927610699
"Q96S97",6.98464190445934,7.23664951187672,7.01801009085644,7.05396987631613,6.98332775609834,7.03689120999056,6.86708495620401,6.95014281879836
"Q96SB3",6.71376473472534,6.55396925537516,6.74507484336488,6.43653635139294,6.92497944402413,6.56649590054269,6.49512860288202,6.3634906043647
"Q96T88",6.95147663639876,6.91624294759225,6.74959347485753,6.93243358388663,6.8316298058383,7.06403549906176,6.75658297769749,6.91282667023891
"Q96TA1",7.97827988474,7.99631761279552,8.02235595369082,7.617155655986,8.02334291172115,8.04030066755361,8.09000981148744,7.8755167381332
"Q99417",7.22902733869102,7.17763826773526,7.22096942763958,7.04973014085426,7.12892452604088,7.10134959257655,7.08840103006376,7.15323759379807
"Q99426",7.78248330348262,7.54170889472071,7.88438364004887,7.68405994488056,8.05629548198565,7.63077014937553,7.57075781744025,7.27992189264216
"Q99439",8.13153616709981,8.24907469852854,8.12770173346889,7.85423728981226,7.70271085224729,7.38286687387904,7.8538064652832,8.21322435347816
"Q99459",7.11083217148044,7.15506859494712,7.11614134704719,7.05138846893312,7.15023507450046,7.25553930472777,7.10811338719296,7.14121909640721
"Q99460",8.21717087834939,8.32192183199987,8.21981099260478,7.74374342188931,7.92830202987939,7.94179774868816,7.93197659494794,8.17872004210473
"Q99471",7.76799893973448,7.84099448103403,7.89304183447899,7.63520304379898,7.58893154978982,7.61833903270146,7.81622778918213,7.80297228906505
"Q99497",8.13071258096997,8.10888197955681,8.20167008210666,7.66809602428364,7.85740201845319,7.36225174469361,7.83682470507624,7.97940018306611
"Q99536",7.81329644715863,7.79667615384766,7.7333687226077,7.55535498931606,7.8255229752571,7.65887602090338,7.67303173310577,7.93092724501867
"Q99584",7.19281758693445,7.04673738288124,7.30425798394352,7.06702041337827,7.24632707884617,7.14846110726758,7.13595576144367,7.01690765538351
"Q99613",8.22038825001552,8.25988602140585,8.26987416860528,7.99096514581092,8.19428330159078,8.15988727329178,8.14901582244589,8.07165814560422
"Q99615",7.25852902597051,7.49046047205709,7.33254802570823,6.87632385895685,6.85099589630365,7.35720142926463,7.30580086921882,7.16556566316207
"Q99622",7.33702340324505,7.22598993432417,7.28482326242394,7.37078768396718,7.39410860379885,7.33077472828941,7.38195250290161,7.32201258846818
"Q99623",8.08201165766551,8.24185728439702,8.02139652252824,7.8422121382725,8.1183311288654,8.20496703444018,7.99812001242652,7.96594551226507
"Q99627",7.088916021358,7.10118204965913,7.07972949785799,7.17804375599404,7.12292784621998,7.05707783237436,7.08603601404238,7.08723859639341
"Q99714",7.88735643686478,7.83444923086238,7.79245028775142,7.653969252072,7.87489385982341,7.72412646027893,7.7226558767366,7.67640153128813
"Q99729",8.05344539348499,8.06887496148201,8.0646615785881,7.77411728940649,7.9590490523949,7.91394447361576,7.91413172754698,7.93490653898443
"Q99733",7.65096688376833,7.53949754445673,7.47185549097404,7.49636165399457,7.47327416487553,7.36804656291652,7.65581320158945,7.67888725303234
"Q99757",7.20874819544851,7.24402934698624,7.23698317031215,7.19186033993611,6.9017991142857,6.96777616709352,7.30457790147611,7.1579955666215
"Q99798",7.73313383102014,7.85847887629149,7.54785797394428,7.27599167386155,8.19199802109088,7.67608028617119,7.57119736011353,7.55269821538815
"Q99816",7.23680794300012,7.32637958212193,7.01752724677399,7.08065774846597,6.9149231809868,7.14243787313427,6.85211647682414,7.09007708015913
"Q99829",7.68531780887106,7.42313325274104,7.43353851644538,7.45516476894094,7.47994959521062,7.5006748817109,7.50728360600019,7.5203555159723
"Q99832",8.28886607462651,8.26788260726478,8.18645123132264,8.09836400414791,8.32973789033,8.21645922035384,7.9806835747227,8.04081022730496
"Q99848",6.88346490498413,6.82804150627624,6.79964049813157,6.8405825498102,6.83323573129443,6.81474278066102,6.71551247783388,6.80448516824482
"Q99873",8.04638337069365,8.05126209529196,8.02411545375491,8.00808991432979,8.04375097519127,8.0294798376226,8.01468443541331,7.96056249478705
"Q99879",9.56938227905657,9.13233079102934,9.32718495020151,8.98281163610353,9.23797991946218,9.1153237735791,9.25290593722334,9.40521775441429
"Q99961",7.69509723988899,7.54622347852559,7.49616359161704,7.29896497248281,7.47228327417542,7.59403786466495,7.36247331523082,7.59640559731569
"Q9BPX5",7.45141960209441,7.32558156123382,7.23711987459648,7.24469714956307,7.33581533421854,7.28302421626525,7.20356045739145,7.12033486468566
"Q9BQ61",6.60103826626522,6.65018902188479,6.76849621841608,6.41258502793323,6.86904587409636,6.49735973370328,6.39615899166664,6.44523523281586
"Q9BQ67",7.10592451374146,7.12989326771597,7.04132866121046,6.98330637963713,7.03828206931154,7.17713490030041,7.04903113013926,7.04754406090783
"Q9BQA1",7.17452382690225,7.0421710787926,6.95778861532255,7.07967227350442,7.15542207613294,6.90718362147369,6.92541744314937,7.12584164161694
"Q9BQE5",6.91780028170485,6.77824597311367,6.767647248442,6.56828217760469,7.07562814410126,6.70163668603843,6.61764366109684,6.60050632679952
"Q9BQG0",7.29185832340422,7.40800333327524,7.20900610395834,6.97057742485875,7.39206873827982,7.36338810433106,6.94144285371607,6.88309945641578
"Q9BR76",7.54589352054279,7.56061221690734,7.63064017007047,7.04370226074569,7.49589745269368,7.27901380578152,7.43401675156719,7.68657113001008
"Q9BRA2",7.56245411106107,7.55007210669174,7.59114248985293,7.44480522511156,7.58286015725106,7.51478456697157,7.58314727526244,7.49315314896078
"Q9BRF8",7.14050096916344,7.1971564015733,7.28933340589837,7.03214745107848,7.45394523677791,7.12543684042872,7.06465502533889,7.28014708691499
"Q9BRP8",6.94564291842128,7.00193000770454,7.05771563377338,7.04349057403794,7.16564441893045,7.00462311531942,6.96087617822162,6.25269251457035
"Q9BS26",7.53558068162918,7.57551874621232,7.47263697380057,7.41964921478019,7.393616153884,7.48568285429961,7.49450443239902,7.46059524868203
"Q9BSJ8",7.23317458554638,7.97172313186184,7.27593586143463,7.2690354050057,6.97629099707517,7.40548133407355,7.37932262890825,7.26945485450868
"Q9BT73",6.62911536450669,6.7184182611051,6.53891523094123,6.63105568653389,6.77254568673065,6.64920272433201,6.59948328316919,6.64719388681552
"Q9BT78",7.5076337923838,7.59788810634745,7.28484776731832,7.56881764068957,7.83873837456849,7.63332814990375,7.60671538578977,7.51285225201646
"Q9BTT0",7.32063968420006,7.43205272471049,7.5020422174747,7.35771825567507,7.4682324387188,7.38922972499606,7.48742157494657,7.36693961638405
"Q9BTY7",6.61904229793671,6.58707135533071,6.67220168923421,6.70467467641595,6.81582714294827,6.56406487807153,6.48095164159258,6.65671004443031
"Q9BU89",7.09581325607965,7.05839463480187,7.09078228357429,7.11065785124817,7.0132297213227,7.03476789094459,7.04689219244805,7.05006942703312
"Q9BUF5",8.85856542462859,8.85097462638528,8.8103275529096,8.40910658022307,8.69514216517918,8.5285362057903,8.6576328441686,8.69742189558407
"Q9BUJ2",7.25803401634647,7.55898114120601,7.25555960178322,7.02215934143609,6.94435582313333,7.12868788656364,6.99206719758641,7.33232761484989
"Q9BV57",6.83727664538996,6.70876490019123,6.9632249484599,6.70021909638648,6.88094532010457,6.81377807734754,6.8422692623368,6.27259563100378
"Q9BVP2",7.40811288989914,7.42043450973217,7.34066562386534,7.27682167718611,7.26759793686886,7.2310620841572,7.24324702280546,7.3383471203675
"Q9BWD1",7.33479985453091,7.35081510344647,7.30082253831618,7.17720674627897,7.27692762746826,7.25665652449368,7.1021608104867,7.45589010968999
"Q9BWF3",7.54148082477255,7.53035113555125,7.55850949885316,7.58424507784454,7.43470166590714,7.53478982846816,7.67065675587794,7.47307522002043
"Q9BWU0",6.82036111261539,6.76037731227571,6.92506041298555,6.64349670457105,6.82723223709202,6.85584417894485,6.70672898462198,6.12437794782192
"Q9BX68",7.10554841503328,7.18292250306305,7.20897694713754,6.9922570879035,6.99413359923887,6.94684830276776,7.12171390941803,7.12738969431159
"Q9BXB4",6.68350254158569,6.64716545067252,6.73596571042555,6.69999705476603,6.76468294776662,6.67255316654759,6.57701662820426,6.54437352416581
"Q9BXJ9",7.51369007472344,7.54945142133003,7.3521983680088,7.32350426060106,7.41100932435944,7.06857706181693,7.32489565503705,7.34578761747725
"Q9BXK1",5.81296420740875,5.73672505669904,5.75393990749477,6.25375517581779,5.96766516255446,6.21069186470207,6.26410695185855,6.55454498474323
"Q9BXP5",7.05007744022823,7.04290173410436,6.99724907560087,6.830678694692,7.29392723616063,6.98803952604798,6.88978810007345,6.86376013458461
"Q9BXS5",7.33970298779517,6.94793603723901,6.98733201170622,6.9997792030383,7.06623540623768,7.40003674450784,7.07091608544595,7.02857374401683
"Q9BY32",7.16017177184612,7.23324987985946,7.16845345570545,7.05359654783618,7.09728370332788,7.16071253002734,7.09706054085194,7.13653466755932
"Q9BY42",6.66938184415545,6.47545008697425,6.81240306143657,6.63868267221493,6.98531299000895,6.62511582415612,6.52867542338847,5.74887423668839
"Q9BY43",6.98595031335217,7.01427816786362,6.90346813063458,6.77952145556437,7.10915617876516,6.97012427277509,6.87220439152211,6.67671169305542
"Q9BY44",7.82301531647386,7.60033986906016,7.74789583525471,7.20876081719809,7.78860054573837,7.54758806641797,7.54106667787797,7.12428801753943
"Q9BY77",7.09069413592396,7.07020377654688,6.98455630207829,7.06808428382223,6.43979262240371,7.19207558027827,7.04168375331208,6.98528913862015
"Q9BYD3",6.70390843077118,6.80642841380703,6.66126400548674,6.80461420831488,6.78328384636644,6.86414686106975,6.72315919940821,6.71298864441352
"Q9BYT8",6.98200295423527,7.01092213571028,7.09492947944158,7.09816825995097,6.92449417867535,6.98889549864982,7.05486858626528,7.1468020010508
"Q9BZZ5",7.4965901205515,7.50256563267599,7.47444971973994,7.26408736398571,7.41936716622676,7.62041424867668,7.35405580072215,7.25928655035929
"Q9C005",6.55187618454535,6.61444493275505,6.70449347105149,6.83357929860404,7.33945952396029,6.85343647041541,6.77242947635188,6.86980806988838
"Q9C0C2",7.40134290324928,7.40969786128665,7.32128885843145,7.05125822820125,7.57971042611289,7.04907732124299,7.1882237541781,7.53336824625494
