1769761_at	SPCC1442.05c
1769762_at	SPBC543.09
1769763_at	SPAC9G1.04
1769764_at	YOR223W
1769765_at	YBR084C-A
1769766_at	YBR296C
1769767_at	YIL132C
1769768_at	SPAC1B2.02c
1769769_at	SPBC947.10
1769770_at	YML064C
1769771_at	SPAC22F3.04
1769772_at	SPAC10F6.11c
1769773_at	YDL176W
1769774_at	YGL114W
1769775_at	YJL192C
1769776_at	YHR005C
1769777_at	YPL130W
1769778_at	YJR067C
1769779_at	YCR088W
1769780_at	SPBC1652.01
1769781_at	YDR393W
1769782_at	YPL215W
1769783_at	YGR279C
1769784_at	SPAC664.10
1769785_at	YAL003W
1769786_at	YOR161C-C
1769787_at	SPBC577.13
1769788_at	YML023C
1769789_at	SPCC1672.08c
1769790_at	SPCC290.04
1769791_at	YDR168W
1769792_at	YGL196W
1769793_at	YFR036W
1769794_at	SPAC186.04c
1769795_at	YBL089W
1769796_at	YHR124W
1769797_at	SPAC6F12.16c
1769798_at	YGL036W
1769799_at	YJL134W
1769800_at	YDR231C
1769801_at	YHR114W
1769802_at	YML010W
1769803_s_at	YHR053C
1769804_at	YGL104C
1769805_at	YMR169C
1769806_at	YMR226C
1769807_at	SPBC3B9.09
1769808_at	YOL071W
1769809_at	YDL012C
1769810_at	YDR206W
1769811_at	SPAC57A7.07c
1769812_at	YHR191C
1769813_at	YOR329C
1769814_at	SPAC10F6.10
1769815_at	SPBC83.12
1769816_at	SPBPJ4664.05
1769817_at	SPAC631.01c
1769818_at	YOL011W
1769819_at	YPL002C
1769820_at	SPBC14F5.12c
1769821_at	SPCC962.03c
1769822_at	SPCC663.04
1769823_at	YER167W
1769824_at	SPBC16G5.15c
1769825_at	SPAC186.06
1769826_at	SPCC1322.03
1769827_at	SPCC613.09
1769828_at	YKL194C
1769829_at	YDR450W
1769830_at	SPBC32H8.12c
1769831_at	SPCC4G3.18
1769832_at	YNR062C
1769833_at	YHL020C
1769834_at	YOR025W
1769835_at	SPBC16E9.17c
1769836_at	SPCC18.02
1769837_at	YGL179C
1769838_at	SPBC24C6.09c
1769839_at	SPCC18B5.06
1769840_at	SPAC17G8.11c
1769841_at	SPBC4C3.08
1769842_at	SPAC12G12.16c
1769843_at	SPAC139.06
1769844_at	YFL046W
1769845_at	YHL032C
1769846_at	SPBC405.02c
1769847_at	SPAC31G5.07
1769848_at	YKL140W
1769849_at	SPAC26A3.03c
1769850_at	YPL127C
1769851_at	YKL211C
1769852_at	YBR142W
1769853_at	YBR295W
1769854_at	YDR223W
1769855_at	SPBP8B7.11
1769856_at	SPAC20G4.03c
1769857_at	YKL085W
1769858_at	YLR029C
1769859_at	SPAC22F3.09c
1769860_at	YCR020W-B
1769861_at	SPCC24B10.08c
1769862_at	SPCC1753.04
1769863_at	YJL025W
1769864_at	SPBC3B8.01c
1769865_at	YMR048W
1769866_at	YLR312W-A
1769867_at	SPAC607.09c
1769868_at	YML091C
1769869_at	SPBC13G1.02
1769870_at	YLR299W
1769871_at	YMR128W
1769872_at	SPBC1198.09
1769873_s_at	SPAC167.08
1769874_at	YPR155C
1769875_at	YLR240W
1769876_at	YOR338W
1769877_at	YIL052C
1769878_at	SPBC30D10.16
1769879_at	SPBC2F12.08c
1769880_at	YLR137W
1769882_s_at	SPAC977.11
1769883_at	SPBC4C3.10c
1769884_at	SPBC3E7.04c
1769885_at	YJL196C
1769886_s_at	SPAC977.05c
1769887_at	YHR133C
1769888_at	YOR179C
1769889_at	SPAC3H8.05c
1769890_at	YMR131C
1769891_at	YNL055C
1769892_at	YJR135C
1769893_at	SPAC4A8.05c
1769894_at	SPAC23A1.07
1769895_at	YIL128W
1769896_at	SPCC777.10c
1769897_at	SPBC691.04
1769898_at	SPBC16H5.10c
1769899_at	SPAC688.10
1769900_at	YBR128C
1769901_at	YCR094W
1769902_at	SPCC1450.01c
1769903_at	YLR212C
1769904_at	YDL108W
1769905_at	YJR151C
1769906_at	YOR042W
1769907_at	YGL252C
1769908_at	YLR262C
1769909_at	SPAC1783.04c
1769910_at	SPAC22G7.10
1769911_at	SPBC651.10
1769912_at	SPBP8B7.27
1769913_s_at	YDL244W
1769914_at	YDR076W
1769915_at	SPCC306.06c
1769916_at	YLL050C
1769917_at	SPBC4F6.10
1769918_at	SPAC21E11.07
1769919_at	YPL131W
1769920_at	SPCC320.14
1769921_at	YMR221C
1769922_at	SPBC115.02c
1769923_at	SPBC83.07
1769924_at	SPAC23H3.03c
1769925_at	YBR215W
1769926_at	SPBC776.02c
1769927_at	YBR258C
1769928_at	SPBC11C11.04c
1769929_at	YFL034C-A
1769930_at	SPBP19A11.04c
1769931_at	YKR068C
1769932_at	YDR252W
1769933_at	SPBC543.04
1769934_at	SPBC14F5.13c
